iter, explore_rate, buffer_score, sample_discarded, sample_score, sample_game_score, sample_deaths, sample_turns, validation_score, validation_game_score, validation_deaths, validation_turns, loss
iter, explore_rate, buffer_score, sample_discarded, sample_score, sample_game_score, sample_deaths, sample_turns, validation_score, validation_game_score, validation_deaths, validation_turns, loss
iter, explore_rate, buffer_score, sample_discarded, sample_score, sample_game_score, sample_deaths, sample_turns, validation_score, validation_game_score, validation_deaths, validation_turns, loss
31,0.4999999999999998,1.182575150073882,40,-1.106954406747309,2.97,6.719,65.558,-0.0006079999999999875,0.1,0.3,68.42,0.004192825057543814
32,0.48999999999999977,1.0637635495035354,22,-1.417749547651251,3.069,7.012,65.246,0.0043360000000000195,0.4,1.14,70.48,0.00408469601534307
33,0.47999999999999976,1.1188641550895078,22,-1.3140113700948242,3.14,7.019,64.883,0.11677248000000004,0.64,1.44,67.0,0.004071797064971179
34,0.46999999999999975,1.0508691094380926,21,-1.6127936644093699,3.153,7.256,64.783,0.23511040000000002,0.8,1.58,69.44,0.004071532292291522
35,0.45999999999999974,1.0535008855571415,20,-1.7437868423713885,3.201,7.41,64.816,0.04292480000000014,0.84,2.18,71.16,0.004041370027698577
36,0.44999999999999973,1.1311459736370721,18,-1.928622490466923,3.479,7.827,64.262,-0.027613567999999807,1.72,4.0,68.16,0.004167376451659948
37,0.4399999999999997,1.1127987506387633,23,-2.336429636759578,3.579,8.189,63.829,-0.3307514111999996,1.94,4.88,67.22,0.004311567936092615
38,0.4299999999999997,1.1222927498147897,10,-2.457850433397827,3.725,8.413,63.575,-0.3079412479999997,2.34,5.38,65.9,0.00456071067135781
39,0.4199999999999997,1.1257621905048656,19,-1.640378278098542,3.246,7.387,64.757,0.6265286400000004,1.62,2.62,68.88,0.004638854200020432
40,0.4099999999999997,1.129111388275433,20,-1.7942599910057664,3.364,7.676,64.532,0.2654558720000002,1.86,3.8,69.06,0.004723694543354213
41,0.3999999999999997,1.120155700134181,22,-2.27126494959447,3.547,8.202,63.923,-0.14264161279999976,2.24,5.18,67.7,0.004862741567194462
42,0.3899999999999997,1.179443573218916,11,-2.8912349621359055,3.891,8.955,63.016,-1.3303026089984005,1.94,6.2,67.44,0.005212412416003644
